Timestamp;GasRapid;GasFast;GasStandard;GasSlow;ValidatorsEntering;ValidatorsExiting;TotalValidatorsCount;TotalETHSupply;ETHBTC;ETHUSD;TransactionCountLast1Min;DetailedETHSupply;Eth2Staking;BurntFees;WithdrawnTotal;RSI;MACD;MACD_signal
2024-02-25 20:34:36;43489758374;37000000000;36835754193;36835754193;0;3;964047;122373866.2178;0.0595753666;3079.2538461771;567;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;69.5377559908;4.7697141541;3.5259614695
2024-02-25 20:36:22;42989433717;32313794885;32313794885;32313794885;0;3;964047;122373866.2178;0.0596270465;3082.2812540955;712;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;69.8100703657;4.9401006397;3.8036838904
2024-02-25 20:38:12;46412498580;32392474010;32392474010;32392474010;0;0;964044;122373866.2178;0.0596612208;3083.3627226016;648;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;64.7083800436;5.4241033112;4.4457993206
2024-02-25 20:40:07;41260706784;29791072191;29791072191;29791072191;0;0;964044;122373866.2178;0.0596670463;3084.5205916041;779;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;60.880687243;5.0867956166;4.7344706602
2024-02-25 20:41:59;44939969364;34375729611;33961371440;33961371440;0;0;964044;122373866.2178;0.0596085011;3082.1558141167;572;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;57.0113944262;4.2596473179;4.6059298073
2024-02-25 20:43:55;45160000000;32030610655;32030610655;32030610655;0;0;964044;122373866.2178;0.0595662522;3080.4328604863;867;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;56.8801061286;3.6865133452;4.3340605922
2024-02-25 20:45:49;42042421350;31002992042;31002992042;31002992042;0;0;964044;122373866.2178;0.0595470847;3078.8622495003;687;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;53.9458303104;2.9129130217;3.880759508
2024-02-25 20:47:51;43838149761;31860759033;31438549879;31438549879;0;0;964044;122373866.2178;0.059531237;3079.5807180861;772;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;59.2715999676;2.6984854881;3.4726140224
2024-02-25 20:49:49;40348426649;30544486933;30544486933;30544486933;0;0;964044;122373866.2178;0.0595263633;3075.830298097;770;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;48.5347897599;1.5666027955;2.8120387175
2024-02-25 20:51:49;41488856028;30459819971;30459819971;30459819971;0;0;964044;122373866.2178;0.0595173111;3076.1836670267;874;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;47.8303263925;0.9775501764;2.2031761649
2024-02-25 20:53:47;39413440446;28328137551;28328137551;28328137551;0;0;964044;122373866.2178;0.0595295661;3076.6432896646;846;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;53.0670577782;0.8098507372;1.7064530409
2024-02-25 20:56:02;36411435983;26399159296;26399159296;26399159296;0;0;964044;122373866.2178;0.059638496;3082.7144694601;705;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;61.2275955731;1.6958170468;1.7240915339
2024-02-25 20:57:52;38611094238;28238226908;28238226908;28238226908;0;0;964044;122373866.2178;0.059635326;3082.8577732787;506;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;57.6794138267;1.9625851116;1.8390319441
2024-02-25 21:00:01;40913579815;29175139318;29013549136;29013549136;0;0;964044;122373866.2178;0.0596512932;3081.941800775;786;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;56.5750833616;1.7322859426;1.7832823467
2024-02-25 21:01:56;46806752272;36448586283;36448586283;36448586283;0;0;964044;122373866.2178;0.059663031;3084.4819759992;918;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;57.8246464231;1.7644693571;1.7640414424
2024-02-25 21:03:40;47208375302;35141674659;35141674659;35141674659;0;0;964044;122373866.2178;0.059656895;3084.0997524024;628;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;59.3058319967;1.8549026494;1.7837592982
2024-02-25 21:05:38;53137301019;39917246667;39917246667;39917246667;0;0;964044;122373866.2178;0.059681102;3086.6941840447;561;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;57.361912217;2.0260331267;1.9078122691
2024-02-25 21:07:35;47423200521;35719268609;35719268609;35719268609;0;0;964044;122373866.2178;0.0596928865;3088.45100265;979;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;66.9208053531;2.7915664507;2.1404673789
2024-02-25 21:09:27;50226012386;38041677868;38041677868;38041677868;0;0;964044;122373866.2178;0.0596694067;3090.2336543234;583;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;63.4163779883;3.1053526705;2.4725695438
2024-02-25 21:11:14;48000000000;35734605449;35734605449;35734605449;0;0;964044;122373866.2178;0.0597337024;3095.2723217364;544;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;66.4046368843;3.9582676732;2.9796147691
2024-02-25 21:13:12;49246500000;34433188843;34433188843;34433188843;0;0;964044;122373866.2178;0.0597610126;3097.3446606781;641;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;67.5386983519;4.5071806227;3.4727890506
2024-02-25 21:15:04;55309619334;36873079556;36873079556;36873079556;0;0;964044;122373866.2178;0.059840169;3110.0910360168;963;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;73.0964081205;6.2547744089;4.3423094131
2024-02-25 21:17:13;48248795358;36197371317;36197371317;36197371317;0;0;964044;122373866.2178;0.0599582059;3113.9617694715;507;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;71.1220922918;7.6709345177;5.4042775023
2024-02-25 21:19:18;47294223423;29828858755;29828858755;29828858755;0;0;964044;122373866.2178;0.0599985627;3112.3302932663;893;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;72.4110262721;8.4962075443;6.4866292092
2024-02-25 21:21:08;56372974585;43422435553;43422435553;43422435553;0;0;964044;122373866.2178;0.0600328379;3114.6596053069;478;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;69.0024172948;8.8760958094;7.3715871496
